Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2025-01-25,$25.19,$25.29,$24.76,$25.07,$25.05,-0.542,"$294,536,110",-35.32,"$15,984,186,100",-0.546
2025-01-24,$25.59,$26.36,$24.97,$25.53,$25.19,-1.56,"$455,345,721",-28.44,"$16,071,925,196",-1.64
2025-01-23,$25.29,$26.07,$24.04,$25.25,$25.61,1.27,"$636,336,588",58.06,"$16,339,568,193",1.23
2025-01-22,$26.60,$26.95,$25.28,$26.03,$25.30,-4.89,"$402,587,198",-57.47,"$16,141,148,307",-4.90
2025-01-21,$25.03,$27.01,$23.75,$25.60,$26.60,6.26,"$946,570,594",-42.77,"$16,973,056,965",7.33
2025-01-20,$24.33,$26.76,$23.54,$24.92,$25.06,2.99,"$1,653,916,205",22.55,"$15,814,031,228",2.60
2025-01-19,$24.08,$26.57,$22.29,$24.34,$24.42,1.43,"$1,349,556,298",124.77,"$15,413,709,227",1.18
2025-01-18,$25.11,$25.59,$23.46,$24.57,$24.14,-3.85,"$600,424,697",17.36,"$15,233,904,128",-3.85
2025-01-17,$23.00,$25.19,$23.00,$24.08,$25.10,9.13,"$511,594,807",-16.14,"$15,843,716,449",9.21
2025-01-16,$22.12,$23.69,$21.36,$22.54,$22.99,3.94,"$610,044,216",27.53,"$14,507,716,436",3.90
2025-01-15,$20.32,$22.12,$20.15,$21.18,$22.12,8.86,"$478,354,772",69.27,"$13,962,548,714",8.90
2025-01-14,$19.37,$20.46,$19.32,$19.86,$20.32,4.88,"$282,593,952",-46.69,"$12,821,017,644",4.86
2025-01-13,$19.84,$20.38,$18.15,$19.44,$19.37,-2.36,"$530,141,998",233.34,"$12,227,125,654",-2.35
2025-01-12,$20.22,$20.31,$19.65,$20.00,$19.84,-1.86,"$159,039,994",-9.55,"$12,521,449,487",-1.87
2025-01-11,$20.30,$20.65,$19.87,$20.26,$20.22,-0.422,"$175,829,099",-50.34,"$12,759,446,252",-0.444
2025-01-10,$19.73,$20.48,$19.64,$20.04,$20.31,2.92,"$354,088,453",-4.34,"$12,816,366,935",3.13
2025-01-09,$20.48,$20.70,$19.32,$20.05,$19.69,-3.85,"$370,166,064",-22.24,"$12,426,855,863",-4.13
2025-01-08,$21.45,$21.70,$19.82,$20.88,$20.54,-4.26,"$476,045,694",-6.73,"$12,962,695,368",-4.28
2025-01-07,$23.81,$23.81,$21.30,$22.59,$21.46,-9.88,"$510,372,195",0.297,"$13,541,747,361",-9.88
2025-01-06,$23.65,$24.66,$23.07,$23.80,$23.81,0.678,"$508,863,314",108.21,"$15,026,377,659",0.639
2025-01-05,$23.63,$23.78,$22.93,$23.50,$23.66,0.139,"$244,393,557",-19.14,"$14,930,978,294",0.104
2025-01-04,$23.41,$23.96,$22.93,$23.49,$23.63,0.940,"$302,257,164",-36.73,"$14,915,462,246",1.14
2025-01-03,$22.05,$23.86,$21.69,$22.74,$23.37,5.97,"$477,759,835",0.393,"$14,747,692,027",6.01
2025-01-02,$21.76,$22.83,$21.76,$22.10,$22.04,1.32,"$475,888,384",30.78,"$13,911,228,639",1.87
2025-01-01,$20.01,$21.76,$19.74,$20.79,$21.64,8.13,"$363,885,996",6.19,"$13,655,772,415",8.19
2024-12-31,$20.58,$21.09,$19.87,$20.38,$20.00,-2.82,"$342,658,980",-11.32,"$12,621,918,387",-2.76
2024-12-30,$20.97,$21.68,$20.14,$20.84,$20.57,-1.94,"$386,385,292",74.37,"$12,979,902,018",-1.95
2024-12-29,$21.98,$21.98,$20.79,$21.43,$20.98,-4.58,"$221,588,489",-44.49,"$13,237,921,490",-4.56
2024-12-28,$21.57,$22.22,$21.11,$21.72,$21.98,1.87,"$399,154,408",-7.48,"$13,870,665,514",2.00
2024-12-27,$22.73,$23.65,$21.46,$22.35,$21.55,-5.20,"$431,433,478",10.03,"$13,598,388,100",-5.08
2024-12-26,$24.47,$24.64,$22.50,$23.58,$22.70,-7.22,"$392,114,937",-6.32,"$14,325,704,615",-7.23
2024-12-25,$25.46,$25.48,$24.26,$24.92,$24.47,-3.90,"$418,576,169",,"$15,442,307,058",
