Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2025-01-25,$0.350,$0.354,$0.346,$0.350,$0.349,-0.259,"$913,125,475",-32.13,"$51,599,449,135",-0.214
2025-01-24,$0.352,$0.364,$0.344,$0.352,$0.350,-0.622,"$1,345,417,858",-33.90,"$51,710,328,554",-0.650
2025-01-23,$0.363,$0.364,$0.343,$0.356,$0.352,-3.06,"$2,035,318,439",13.84,"$52,048,445,897",-3.06
2025-01-22,$0.371,$0.373,$0.357,$0.366,$0.363,-2.06,"$1,787,894,513",-70.25,"$53,691,125,581",-2.04
2025-01-21,$0.354,$0.397,$0.337,$0.365,$0.371,4.77,"$6,009,290,470",10.55,"$54,811,261,324",4.59
2025-01-20,$0.358,$0.384,$0.349,$0.361,$0.355,-0.949,"$5,435,686,497",-6.05,"$52,407,659,428",-1.22
2025-01-19,$0.396,$0.408,$0.352,$0.379,$0.359,-9.34,"$5,785,963,659",34.89,"$53,054,571,199",-9.28
2025-01-18,$0.415,$0.433,$0.388,$0.408,$0.396,-4.59,"$4,289,496,240",15.12,"$58,484,187,828",-4.56
2025-01-17,$0.377,$0.420,$0.376,$0.397,$0.415,10.09,"$3,726,204,810",45.28,"$61,275,678,380",10.08
2025-01-16,$0.386,$0.389,$0.369,$0.380,$0.377,-2.28,"$2,564,789,974",-1.81,"$55,663,839,226",-2.45
2025-01-15,$0.356,$0.387,$0.349,$0.370,$0.387,8.49,"$2,612,000,607",25.97,"$57,064,714,394",8.46
2025-01-14,$0.338,$0.361,$0.336,$0.348,$0.356,5.52,"$2,073,435,191",-18.23,"$52,614,061,018",5.52
2025-01-13,$0.336,$0.344,$0.314,$0.333,$0.338,0.637,"$2,535,834,857",173.73,"$49,861,174,474",0.679
2025-01-12,$0.341,$0.343,$0.332,$0.338,$0.336,-1.70,"$926,384,228",-0.889,"$49,524,813,435",-1.75
2025-01-11,$0.334,$0.347,$0.330,$0.338,$0.342,2.22,"$934,693,955",-56.61,"$50,404,403,389",2.22
2025-01-10,$0.321,$0.338,$0.321,$0.329,$0.334,4.00,"$2,153,951,143",-6.81,"$49,310,963,775",4.19
2025-01-09,$0.342,$0.346,$0.315,$0.331,$0.321,-6.21,"$2,311,427,016",-20.44,"$47,327,767,231",-6.48
2025-01-08,$0.349,$0.355,$0.328,$0.343,$0.343,-1.59,"$2,905,370,336",-15.26,"$50,608,932,124",-1.66
2025-01-07,$0.388,$0.397,$0.349,$0.371,$0.349,-10.00,"$3,428,394,031",77.71,"$51,462,503,831",-9.97
2025-01-06,$0.383,$0.394,$0.377,$0.385,$0.388,1.25,"$1,929,259,374",21.08,"$57,162,409,133",1.25
2025-01-05,$0.394,$0.396,$0.376,$0.387,$0.383,-2.92,"$1,593,422,054",-41.66,"$56,454,926,130",-2.80
2025-01-04,$0.380,$0.398,$0.378,$0.388,$0.394,3.77,"$2,731,330,001",-6.74,"$58,081,386,240",3.85
2025-01-03,$0.339,$0.387,$0.336,$0.360,$0.379,12.00,"$2,928,717,856",53.90,"$55,930,814,477",12.07
2025-01-02,$0.325,$0.344,$0.325,$0.333,$0.339,4.37,"$1,902,952,112",102.81,"$49,906,078,579",4.53
2025-01-01,$0.316,$0.326,$0.312,$0.319,$0.324,2.62,"$938,283,732",-33.35,"$47,745,109,990",2.63
2024-12-31,$0.313,$0.328,$0.309,$0.317,$0.316,0.812,"$1,407,871,796",-12.51,"$46,519,890,490",0.893
2024-12-30,$0.314,$0.322,$0.307,$0.314,$0.313,-0.404,"$1,609,267,393",58.12,"$46,107,976,981",-0.489
2024-12-29,$0.324,$0.328,$0.312,$0.320,$0.315,-2.88,"$1,017,748,462",20.53,"$46,334,593,677",-2.86
2024-12-28,$0.311,$0.325,$0.311,$0.318,$0.324,4.03,"$844,378,750",-35.73,"$47,696,952,760",4.14
2024-12-27,$0.312,$0.323,$0.310,$0.314,$0.311,-0.497,"$1,313,697,066",-16.39,"$45,802,384,440",-0.349
2024-12-26,$0.334,$0.337,$0.309,$0.323,$0.312,-6.69,"$1,571,261,504",2.12,"$45,962,683,069",-6.69
2024-12-25,$0.337,$0.340,$0.327,$0.334,$0.334,-0.711,"$1,538,620,038",,"$49,260,570,353",
