Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2025-02-05,$25.12,$27.34,$24.86,$25.78,$25.78,2.64,"$276,286,697",-13.46,"$8,609,475,450",2.62
2025-02-04,$25.13,$26.81,$24.00,$25.27,$25.12,-0.00694,"$319,265,972",-46.87,"$8,389,807,764",0.0744
2025-02-03,$22.40,$25.98,$20.28,$23.44,$25.11,12.09,"$600,886,597",72.09,"$8,383,571,389",12.10
2025-02-02,$23.13,$24.14,$20.67,$22.58,$22.40,-3.16,"$349,167,879",32.16,"$7,478,470,749",-5.38
2025-02-01,$26.89,$27.56,$23.05,$25.29,$23.67,-11.97,"$264,197,980",12.67,"$7,903,557,343",-12.00
2025-01-31,$27.20,$28.27,$25.80,$27.04,$26.90,-1.11,"$234,487,231",-18.07,"$8,981,190,008",-3.14
2025-01-30,$23.73,$27.77,$23.43,$25.67,$27.77,17.01,"$286,190,689",88.96,"$9,272,152,165",17.15
2025-01-29,$22.25,$24.01,$22.02,$23.00,$23.70,6.53,"$151,451,831",-17.30,"$7,914,695,591",7.19
2025-01-28,$23.32,$24.44,$21.52,$22.85,$22.11,-5.19,"$183,132,576",-36.71,"$7,383,495,292",-4.48
2025-01-27,$22.16,$23.52,$20.15,$22.25,$23.15,4.46,"$289,357,226",147.63,"$7,730,125,187",4.21
2025-01-26,$23.19,$24.88,$22.21,$23.12,$22.21,-4.19,"$116,848,474",8.49,"$7,418,108,450",-4.32
2025-01-25,$22.86,$23.86,$21.79,$22.93,$23.22,1.55,"$107,707,139",-42.92,"$7,752,733,194",1.68
2025-01-24,$22.18,$24.97,$21.31,$22.82,$22.83,2.95,"$188,688,652",-38.31,"$7,624,774,258",2.95
2025-01-23,$24.22,$24.91,$21.70,$23.25,$22.18,-8.42,"$305,853,486",49.08,"$7,406,481,980",-8.43
2025-01-22,$23.09,$26.96,$23.09,$24.34,$24.22,4.88,"$205,161,824",-24.76,"$8,087,923,543",4.89
2025-01-21,$20.54,$24.83,$20.12,$22.14,$23.09,12.43,"$272,690,413",-14.18,"$7,710,794,264",13.21
2025-01-20,$20.27,$22.68,$19.54,$20.72,$20.40,0.646,"$317,760,055",-29.33,"$6,811,280,557",0.545
2025-01-19,$22.01,$23.67,$19.32,$21.32,$20.29,-7.82,"$449,649,039",29.89,"$6,774,340,743",-6.45
2025-01-18,$23.09,$23.09,$19.30,$21.79,$21.69,-6.10,"$346,166,745",146.22,"$7,241,418,643",-6.10
2025-01-17,$23.54,$24.03,$22.91,$23.39,$23.09,-1.90,"$140,591,117",-3.56,"$7,712,004,403",-1.95
2025-01-16,$24.34,$24.34,$23.16,$23.85,$23.55,-3.24,"$145,777,894",-23.69,"$7,865,092,624",-2.37
2025-01-15,$22.97,$24.28,$22.13,$23.37,$24.13,5.06,"$191,032,181",-2.47,"$8,056,350,422",5.06
2025-01-14,$21.65,$23.46,$21.32,$22.35,$22.96,6.08,"$195,879,336",-21.72,"$7,668,629,655",6.08
2025-01-13,$21.11,$23.10,$18.99,$21.21,$21.65,2.57,"$250,219,940",176.35,"$7,229,285,514",2.30
2025-01-12,$20.85,$21.94,$20.03,$21.00,$21.16,1.51,"$90,545,513",-14.04,"$7,067,077,217",1.51
2025-01-11,$20.73,$21.17,$19.63,$20.59,$20.85,0.588,"$105,330,846",-48.81,"$6,962,107,820",0.133
2025-01-10,$20.26,$22.08,$19.88,$20.76,$20.82,2.77,"$205,774,628",-37.02,"$6,952,836,744",2.52
2025-01-09,$22.48,$23.86,$18.92,$21.39,$20.31,-9.65,"$326,748,671",13.02,"$6,781,985,005",-10.51
2025-01-08,$23.68,$23.80,$20.18,$22.59,$22.70,-4.16,"$289,117,215",74.27,"$7,578,615,568",-4.16
2025-01-07,$25.40,$26.30,$22.98,$24.59,$23.68,-6.78,"$165,901,391",18.42,"$7,907,388,708",-6.78
2025-01-06,$24.38,$26.17,$24.05,$25.00,$25.40,4.21,"$140,090,601",40.40,"$8,482,732,375",4.20
2025-01-05,$24.83,$25.78,$24.15,$24.78,$24.38,-1.82,"$99,780,294",,"$8,140,470,859",
