Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2025-01-25,$0.254,$0.258,$0.254,$0.255,$0.255,0.333,"$267,913,221",-32.04,"$21,988,816,844",0.346
2025-01-24,$0.253,$0.261,$0.251,$0.255,$0.254,0.644,"$394,213,483",-31.43,"$21,912,989,728",0.639
2025-01-23,$0.254,$0.254,$0.244,$0.251,$0.253,-0.356,"$574,942,745",5.87,"$21,773,810,363",-0.368
2025-01-22,$0.245,$0.258,$0.245,$0.250,$0.254,3.66,"$543,049,615",2.19,"$21,854,329,385",3.67
2025-01-21,$0.238,$0.245,$0.236,$0.241,$0.245,2.61,"$531,399,328",-52.80,"$21,081,633,863",2.49
2025-01-20,$0.229,$0.247,$0.225,$0.235,$0.239,4.49,"$1,125,965,218",33.12,"$20,570,052,456",4.38
2025-01-19,$0.242,$0.246,$0.227,$0.236,$0.229,-5.53,"$845,805,615",7.07,"$19,706,961,088",-5.58
2025-01-18,$0.249,$0.256,$0.239,$0.247,$0.242,-2.72,"$789,987,006",114.66,"$20,871,964,418",-2.83
2025-01-17,$0.237,$0.249,$0.237,$0.243,$0.249,5.16,"$368,012,149",-22.29,"$21,478,870,285",5.17
2025-01-16,$0.238,$0.241,$0.233,$0.237,$0.237,-0.463,"$473,577,612",13.50,"$20,422,075,891",-0.449
2025-01-15,$0.221,$0.238,$0.221,$0.230,$0.238,7.70,"$417,249,053",34.04,"$20,514,233,778",7.68
2025-01-14,$0.223,$0.227,$0.221,$0.223,$0.221,-0.795,"$311,286,778",-46.36,"$19,050,624,927",-0.800
2025-01-13,$0.233,$0.236,$0.217,$0.228,$0.223,-4.55,"$580,331,631",193.32,"$19,204,180,332",-4.52
2025-01-12,$0.241,$0.241,$0.232,$0.237,$0.233,-3.25,"$197,849,522",5.95,"$20,114,185,569",-3.26
2025-01-11,$0.245,$0.245,$0.241,$0.243,$0.241,-1.37,"$186,739,994",-48.00,"$20,792,313,293",-1.34
2025-01-10,$0.240,$0.245,$0.238,$0.242,$0.245,1.69,"$359,138,773",-32.17,"$21,075,088,392",1.72
2025-01-09,$0.251,$0.251,$0.237,$0.245,$0.240,-4.13,"$529,504,809",-5.46,"$20,719,411,173",-4.13
2025-01-08,$0.253,$0.255,$0.245,$0.251,$0.251,-0.912,"$560,080,213",10.10,"$21,612,712,521",-0.923
2025-01-07,$0.269,$0.271,$0.253,$0.262,$0.253,-5.82,"$508,720,541",33.28,"$21,813,965,331",-5.82
2025-01-06,$0.263,$0.270,$0.260,$0.265,$0.269,2.27,"$381,697,924",52.32,"$23,161,915,565",2.24
2025-01-05,$0.270,$0.270,$0.262,$0.266,$0.263,-2.59,"$250,588,685",-30.55,"$22,654,659,262",-2.65
2025-01-04,$0.270,$0.273,$0.267,$0.270,$0.270,0.0344,"$360,835,816",-6.01,"$23,270,958,793",0.0526
2025-01-03,$0.265,$0.271,$0.261,$0.267,$0.270,1.71,"$383,904,525",-7.45,"$23,258,724,707",1.73
2025-01-02,$0.256,$0.266,$0.256,$0.261,$0.265,3.75,"$414,802,424",102.43,"$22,863,532,305",3.80
2025-01-01,$0.254,$0.256,$0.253,$0.255,$0.256,0.438,"$204,913,251",-24.75,"$22,025,789,901",0.448
2024-12-31,$0.253,$0.257,$0.251,$0.254,$0.254,0.520,"$272,320,307",-30.83,"$21,927,538,816",0.585
2024-12-30,$0.257,$0.259,$0.250,$0.255,$0.253,-1.76,"$393,673,123",18.85,"$21,799,985,981",-1.76
2024-12-29,$0.258,$0.263,$0.257,$0.259,$0.257,-0.295,"$331,238,929",29.86,"$22,189,882,834",-0.289
2024-12-28,$0.259,$0.263,$0.257,$0.259,$0.258,-0.430,"$255,080,441",-52.64,"$22,254,198,775",-0.405
2024-12-27,$0.254,$0.265,$0.253,$0.258,$0.259,2.13,"$538,642,834",38.63,"$22,344,748,743",2.26
2024-12-26,$0.258,$0.259,$0.250,$0.255,$0.253,-1.77,"$388,561,061",31.35,"$21,851,735,947",-1.77
2024-12-25,$0.257,$0.259,$0.256,$0.257,$0.258,0.578,"$295,828,720",,"$22,245,536,833",
