Tendência,Início,Fim,Variação Percentual,Criptomoeda
Alta,2023-11-16 00:00:00+00:00,2023-11-21 00:00:00+00:00,7.171506550799959,mnt
Alta,2023-12-05 00:00:00+00:00,2023-12-11 00:00:00+00:00,1.7725843414459128,mnt
Alta,2024-02-15 00:00:00+00:00,2024-02-21 00:00:00+00:00,-1.358488826602152,mnt
Alta,2024-02-23 00:00:00+00:00,2024-03-14 00:00:00+00:00,34.063760529235374,mnt
Alta,2024-03-28 00:00:00+00:00,2024-04-12 00:00:00+00:00,2.2934805042307342,mnt
Baixa,2024-07-05 00:00:00+00:00,2024-07-10 00:00:00+00:00,-2.0558435420060506,mnt
Alta,2024-07-20 00:00:00+00:00,2024-07-24 00:00:00+00:00,-0.11996866960900922,mnt
Baixa,2024-08-04 00:00:00+00:00,2024-08-08 00:00:00+00:00,-11.210294048432594,mnt
Baixa,2024-08-10 00:00:00+00:00,2024-08-19 00:00:00+00:00,-5.648741443177947,mnt
Alta,2024-11-22 00:00:00+00:00,2024-12-18 00:00:00+00:00,49.04313021777968,mnt
Alta,2021-02-03 00:00:00+00:00,2021-02-17 00:00:00+00:00,-7.095590089181412,ldo
Baixa,2021-02-20 00:00:00+00:00,2021-03-27 00:00:00+00:00,-68.52089803418511,ldo
Alta,2021-03-31 00:00:00+00:00,2021-04-14 00:00:00+00:00,25.334123555625276,ldo
Alta,2021-04-28 00:00:00+00:00,2021-05-19 00:00:00+00:00,195.06194578238188,ldo
Baixa,2021-05-27 00:00:00+00:00,2021-06-07 00:00:00+00:00,-17.738763039211243,ldo
Baixa,2021-06-22 00:00:00+00:00,2021-07-04 00:00:00+00:00,12.855743826104026,ldo
Alta,2021-07-30 00:00:00+00:00,2021-08-17 00:00:00+00:00,98.25088553393617,ldo
Alta,2021-08-19 00:00:00+00:00,2021-08-30 00:00:00+00:00,12.86450980864041,ldo
Baixa,2021-10-05 00:00:00+00:00,2021-10-14 00:00:00+00:00,-11.744116754735726,ldo
Alta,2021-11-08 00:00:00+00:00,2021-11-16 00:00:00+00:00,3.5067974630995526,ldo
